Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\RfClownV2\Project Outputs for RfClownV2\Pick Place for RfClownV2-pcb.csv

========================================================================================================================
File Design Information:

Date:       25/10/25
Time:       20:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C12","100nf","BottomLayer","CAP0805","92.4560","77.9780","0","Capacitor"
"C11","10uf","BottomLayer","CAP_1206_(3216X15L)","136.2400","76.4540","0","Capacitor"
"C10","10uf","BottomLayer","CAP_1206_(3216X15L)","143.4599","76.4540","180","Capacitor"
"C9","Capacitor Tantalum SMD","BottomLayer","Tan_1206_(3216X18L)_Size_A","136.1652","73.6600","0","Capacitor Tantalum SMD"
"C8","Capacitor Tantalum SMD","BottomLayer","Tan_1206_(3216X18L)_Size_A","143.5347","73.6600","180","Capacitor Tantalum SMD"
"C7","100nf","BottomLayer","CAP0805","86.0450","75.3110","0","Capacitor"
"BT1","1042","BottomLayer","BAT_1042","117.9830","59.4360","180",""
"U5","OLED_0.96IN_WHITE","TopLayer","OLED_0.96IN_WHITE_SSD1306","118.2060","84.9630","360","OLED, 0.96", Monochrome white, SSD1306"
"R15","390k","TopLayer","RES_0805_(2012X06L)","121.7043","89.8194","90","RESISTOR"
"R14","10k","TopLayer","RES_0805_(2012X06L)","116.8400","89.4710","90","RESISTOR"
"C23","1uf","TopLayer","CAP0805","107.3150","89.5960","90","Capacitor"
"C22","2.2uf","TopLayer","CAP0805","114.5963","89.5960","90","Capacitor"
"C18","1uf","TopLayer","CAP0805","109.7421","89.5960","90","Capacitor"
"C17","2.2uf","TopLayer","CAP0805","124.3048","89.5960","90","Capacitor"
"C16","100nf","TopLayer","CAP0805","126.7319","89.5960","270","Capacitor"
"C15","100nf","TopLayer","CAP0805","112.1692","89.5960","90","Capacitor"
"C14","10uf","TopLayer","CAP0805","129.1590","89.5960","270","Capacitor"
"C13","10uf","TopLayer","CAP0805","119.4506","89.5960","270","Capacitor"
"U2","CP2102","TopLayer","QFN28G_0.5-5X5MM","117.3560","63.1690","90","USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN _5x5_"
"R8","5.1k","TopLayer","RES_0805","123.9520","53.9090","0","RESISTOR"
"R7","5.1k","TopLayer","RES_0805","110.8710","53.9090","0","RESISTOR"
"R5","12k","TopLayer","RES_0805","104.3940","62.7240","180","RESISTOR"
"R4","12k","TopLayer","RES_0805","102.3620","62.7190","360","RESISTOR"
"R2","470","TopLayer","RES_0805","110.4900","63.6190","180","RESISTOR"
"Q2","S8050","TopLayer","SOT-23","103.3780","58.4670","180","Bipolar (BJT) Transistor NPN 25 V 500 mA 150MHz 300 mW Surface Mount SOT-23"
"Q1","S8050","TopLayer","SOT-23","103.3780","67.1030","360","Bipolar (BJT) Transistor NPN 25 V 500 mA 150MHz 300 mW Surface Mount SOT-23"
"J1","TYPE-C-31-M-12","TopLayer","HRO_TYPE-C-31-M-12","117.6020","54.0640","360","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"C5","100nf","TopLayer","CAP0805","125.5560","59.6290","90","Capacitor"
"C4","10uf","TopLayer","CAP0805","127.5880","59.6340","90","Capacitor"
"C3","100nf","TopLayer","CAP0805","125.5560","63.5290","270","Capacitor"
"C2","10uf","TopLayer","CAP0805","127.5880","63.5290","270","Capacitor"
"U1","ESP32-WROOM-32U","TopLayer","XCVR_ESP32-WROOM-32U","78.1190","87.3490","90","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Antenna Not Included, U.FL Surface Mount"
"R1","4.7k","BottomLayer","RES_0805","74.4220","70.5100","180","RESISTOR"
"R3","4.7k","BottomLayer","RES_0805","74.4820","104.0740","180","RESISTOR"
"C6","100nf","BottomLayer","CAP0805","76.9620","70.5100","270","Capacitor"
"C1","100nf","BottomLayer","CAP0805","76.8650","104.0740","90","Capacitor"
"B2","BUTTON","BottomLayer","PUSH_BUTTON_SMD","69.8000","102.5850","180","PUSH BUTTON"
"B1","BUTTON","BottomLayer","PUSH_BUTTON_SMD","69.7800","71.6600","180","PUSH BUTTON"
